Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,6.0,3.0,3.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0
1,1,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
2,2,3.0,2.0,1.0,5.0,1.5,0.0,3.0,0.5,4.5,0.5
3,5,2.0,1.2,0.8,1.8,0.6,0.0,1.2,0.0,1.8,0.0
4,3,2.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
5,2,1.0,0.5,0.5,3.0,1.0,0.0,2.0,0.0,3.0,0.0
6,5,2.0,1.2,0.8,4.2,1.0,0.0,3.0,0.2,4.0,0.2
7,12,3.0,2.0,1.0,2.6666666666666665,1.0833333333333333,0.0,1.5833333333333333,0.0,2.6666666666666665,0.0
8,3,2.0,1.0,1.0,5.0,1.3333333333333333,0.6666666666666666,3.0,0.0,4.333333333333333,0.6666666666666666
9,5,2.6,1.0,1.6,3.2,1.0,0.2,2.0,0.0,3.0,0.2
10,4,2.0,1.5,0.5,2.25,0.75,0.25,1.25,0.0,2.0,0.25
11,4,2.0,0.5,1.5,4.0,2.0,0.25,1.75,0.0,3.75,0.25
12,2,1.5,1.5,0.0,4.0,1.5,0.0,2.5,0.0,4.0,0.0
13,1,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
15,3,2.6666666666666665,1.3333333333333333,1.3333333333333333,4.0,2.0,0.0,1.6666666666666667,0.3333333333333333,3.6666666666666665,0.3333333333333333
17,3,3.0,1.0,2.0,4.333333333333333,1.6666666666666667,0.0,2.3333333333333335,0.3333333333333333,4.0,0.3333333333333333
